iter,model,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,acc,bal_acc,roc_auc,pr_auc
0,SVC,4,4,True,No,0.6666666666666666,0.5563218390804598,-1.0,-1.0
1,SVC,4,4,True,No,0.7647058823529411,0.6137931034482759,-1.0,-1.0
2,SVC,4,4,True,No,0.7352941176470589,0.6793103448275861,-1.0,-1.0
3,SVC,4,4,True,No,0.6666666666666666,0.6114942528735632,-1.0,-1.0
4,SVC,4,4,True,No,0.6568627450980392,0.5229885057471264,-1.0,-1.0
5,SVC,4,4,True,No,0.7450980392156863,0.7402298850574712,-1.0,-1.0
6,SVC,4,4,True,No,0.6764705882352942,0.5896551724137931,-1.0,-1.0
7,SVC,4,4,True,No,0.7156862745098039,0.667816091954023,-1.0,-1.0
8,SVC,4,4,True,No,0.6862745098039216,0.6781609195402298,-1.0,-1.0
9,SVC,4,4,True,No,0.7941176470588235,0.6862068965517241,-1.0,-1.0
10,SVC,4,4,True,No,0.6274509803921569,0.5333333333333333,-1.0,-1.0
11,SVC,4,4,True,No,0.6372549019607843,0.6218390804597701,-1.0,-1.0
12,SVC,4,4,True,No,0.5784313725490197,0.5873563218390805,-1.0,-1.0
13,SVC,4,4,True,No,0.7058823529411765,0.6068965517241379,-1.0,-1.0
14,SVC,4,4,True,No,0.5742574257425742,0.42323481116584566,-1.0,-1.0
15,SVC,4,4,True,No,0.6534653465346535,0.5291461412151067,-1.0,-1.0
16,SVC,4,4,True,No,0.6039603960396039,0.6502463054187192,-1.0,-1.0
17,SVC,4,4,True,No,0.6831683168316832,0.5463875205254516,-1.0,-1.0
18,SVC,4,4,True,No,0.6831683168316832,0.6362889983579638,-1.0,-1.0
19,SVC,4,4,True,No,0.6534653465346535,0.5213178294573644,-1.0,-1.0
0,RBF,4,4,True,No,0.7058823529411765,0.5793103448275863,-1.0,-1.0
1,RBF,4,4,True,No,0.6764705882352942,0.47931034482758617,-1.0,-1.0
2,RBF,4,4,True,No,0.7254901960784313,0.5632183908045977,-1.0,-1.0
3,RBF,4,4,True,No,0.696078431372549,0.6839080459770115,-1.0,-1.0
4,RBF,4,4,True,No,0.696078431372549,0.5735632183908046,-1.0,-1.0
5,RBF,4,4,True,No,0.7352941176470589,0.6517241379310345,-1.0,-1.0
6,RBF,4,4,True,No,0.6568627450980392,0.6057471264367815,-1.0,-1.0
7,RBF,4,4,True,No,0.6666666666666666,0.5839080459770115,-1.0,-1.0
8,RBF,4,4,True,No,0.696078431372549,0.5183908045977011,-1.0,-1.0
9,RBF,4,4,True,No,0.7647058823529411,0.5862068965517241,-1.0,-1.0
10,RBF,4,4,True,No,0.6666666666666666,0.5839080459770115,-1.0,-1.0
11,RBF,4,4,True,No,0.7058823529411765,0.5793103448275863,-1.0,-1.0
12,RBF,4,4,True,No,0.696078431372549,0.5735632183908046,-1.0,-1.0
13,RBF,4,4,True,No,0.7647058823529411,0.6413793103448275,-1.0,-1.0
14,RBF,4,4,True,No,0.7128712871287128,0.5636288998357963,-1.0,-1.0
15,RBF,4,4,True,No,0.6336633663366337,0.5775862068965517,-1.0,-1.0
16,RBF,4,4,True,No,0.7227722772277227,0.6892446633825944,-1.0,-1.0
17,RBF,4,4,True,No,0.7920792079207921,0.6395730706075533,-1.0,-1.0
18,RBF,4,4,True,No,0.693069306930693,0.6720032840722496,-1.0,-1.0
19,RBF,4,4,True,No,0.7425742574257426,0.6837209302325582,-1.0,-1.0
0,LR,4,4,True,No,0.5784313725490197,0.5873563218390805,0.6360153256704981,0.8886552357367165
1,LR,4,4,True,No,0.5784313725490197,0.4494252873563218,0.34329501915708815,0.7771933797062913
2,LR,4,4,True,No,0.6862745098039216,0.6781609195402298,0.7264367816091954,0.9314936265041913
3,LR,4,4,True,No,0.5784313725490197,0.5873563218390805,0.5770114942528736,0.8767193685241086
4,LR,4,4,True,No,0.6176470588235294,0.6379310344827587,0.657471264367816,0.911579501741329
5,LR,4,4,True,No,0.6470588235294118,0.5448275862068965,0.5172413793103449,0.8620214039026269
6,LR,4,4,True,No,0.6274509803921569,0.5333333333333333,0.535632183908046,0.8649273358568289
7,LR,4,4,True,No,0.5882352941176471,0.5379310344827586,0.6130268199233717,0.8559561477321489
8,LR,4,4,True,No,0.6862745098039216,0.7057471264367816,0.7226053639846743,0.9022091495323219
9,LR,4,4,True,No,0.6666666666666666,0.6666666666666666,0.7386973180076628,0.9459794726376538
10,LR,4,4,True,No,0.6862745098039216,0.6505747126436782,0.6551724137931034,0.891607527455514
11,LR,4,4,True,No,0.5980392156862745,0.6816091954022989,0.6881226053639846,0.9326166049497251
12,LR,4,4,True,No,0.5294117647058824,0.503448275862069,0.5547892720306513,0.883584566224781
13,LR,4,4,True,No,0.5392156862745098,0.5919540229885057,0.6896551724137931,0.9217136948508236
14,LR,4,4,True,No,0.5643564356435643,0.5073891625615763,0.4778325123152709,0.8109817998659515
15,LR,4,4,True,No,0.6435643564356436,0.6432676518883416,0.6264367816091954,0.9083746809041604
16,LR,4,4,True,No,0.6435643564356436,0.5233990147783252,0.541871921182266,0.8632694203300355
17,LR,4,4,True,No,0.504950495049505,0.5328407224958949,0.590311986863711,0.8880508351979393
18,LR,4,4,True,No,0.6633663366336634,0.6247947454844006,0.541871921182266,0.8419960274324493
19,LR,4,4,True,No,0.6336633663366337,0.6197674418604651,0.64031007751938,0.8672428458234019
0,SVC,4,4,True,No,0.6470588235294118,0.6275862068965516,-1.0,-1.0
1,SVC,4,4,True,No,0.6568627450980392,0.5505747126436782,-1.0,-1.0
2,SVC,4,4,True,No,0.6862745098039216,0.6505747126436782,-1.0,-1.0
3,SVC,4,4,True,No,0.7156862745098039,0.6402298850574712,-1.0,-1.0
4,SVC,4,4,True,No,0.6372549019607843,0.5114942528735632,-1.0,-1.0
5,SVC,4,4,True,No,0.7549019607843137,0.8011494252873563,-1.0,-1.0
6,SVC,4,4,True,No,0.6078431372549019,0.5218390804597701,-1.0,-1.0
7,SVC,4,4,True,No,0.7058823529411765,0.6620689655172414,-1.0,-1.0
8,SVC,4,4,True,No,0.6764705882352942,0.6448275862068966,-1.0,-1.0
9,SVC,4,4,True,No,0.6568627450980392,0.6057471264367815,-1.0,-1.0
10,SVC,4,4,True,No,0.7843137254901961,0.7632183908045977,-1.0,-1.0
11,SVC,4,4,True,No,0.6274509803921569,0.5057471264367815,-1.0,-1.0
