iter,model,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,acc,bal_acc,roc_auc,pr_auc
3,GB,1,1,True,No,0.6440677966101694,0.643103448275862,-1.0,-1.0
4,GB,1,1,True,No,0.4482758620689655,0.4482758620689655,-1.0,-1.0
5,GB,1,1,True,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
6,GB,1,1,True,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
7,GB,1,1,True,No,0.603448275862069,0.603448275862069,-1.0,-1.0
8,GB,1,1,True,No,0.6206896551724138,0.6206896551724137,-1.0,-1.0
9,GB,1,1,True,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
0,RFC,1,1,True,No,0.576271186440678,0.5770114942528736,-1.0,-1.0
1,RFC,1,1,True,No,0.5423728813559322,0.5431034482758621,-1.0,-1.0
2,RFC,1,1,True,No,0.7288135593220338,0.7281609195402299,-1.0,-1.0
3,RFC,1,1,True,No,0.559322033898305,0.560919540229885,-1.0,-1.0
4,RFC,1,1,True,No,0.5689655172413793,0.5689655172413792,-1.0,-1.0
5,RFC,1,1,True,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
6,RFC,1,1,True,No,0.5,0.5,-1.0,-1.0
7,RFC,1,1,True,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
8,RFC,1,1,True,No,0.7413793103448276,0.7413793103448276,-1.0,-1.0
9,RFC,1,1,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
0,SVC,1,1,False,No,0.576271186440678,0.5764367816091953,-1.0,-1.0
1,SVC,1,1,False,No,0.5932203389830508,0.5908045977011493,-1.0,-1.0
2,SVC,1,1,False,No,0.6101694915254238,0.6091954022988506,-1.0,-1.0
3,SVC,1,1,False,No,0.7288135593220338,0.7270114942528736,-1.0,-1.0
4,SVC,1,1,False,No,0.4482758620689655,0.4482758620689655,-1.0,-1.0
5,SVC,1,1,False,No,0.5689655172413793,0.5689655172413793,-1.0,-1.0
6,SVC,1,1,False,No,0.7758620689655172,0.7758620689655172,-1.0,-1.0
7,SVC,1,1,False,No,0.7068965517241379,0.7068965517241379,-1.0,-1.0
8,SVC,1,1,False,No,0.5344827586206896,0.5344827586206896,-1.0,-1.0
9,SVC,1,1,False,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
0,RBF,1,1,False,No,0.6610169491525424,0.6586206896551725,-1.0,-1.0
1,RBF,1,1,False,No,0.6440677966101694,0.6425287356321838,-1.0,-1.0
2,RBF,1,1,False,No,0.5932203389830508,0.5913793103448276,-1.0,-1.0
3,RBF,1,1,False,No,0.5423728813559322,0.5419540229885058,-1.0,-1.0
4,RBF,1,1,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
5,RBF,1,1,False,No,0.5689655172413793,0.5689655172413793,-1.0,-1.0
6,RBF,1,1,False,No,0.6206896551724138,0.6206896551724137,-1.0,-1.0
7,RBF,1,1,False,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
8,RBF,1,1,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
9,RBF,1,1,False,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
0,LR,1,1,False,No,0.5084745762711864,0.5,0.6160919540229886,0.6073773504715455
1,LR,1,1,False,No,0.5084745762711864,0.5,0.6206896551724137,0.5844507850711197
2,LR,1,1,False,No,0.5084745762711864,0.5,0.5505747126436782,0.5880272581656575
3,LR,1,1,False,No,0.5084745762711864,0.5,0.6264367816091954,0.5705910298521211
4,LR,1,1,False,No,0.5,0.5,0.6646848989298454,0.6250092301679779
5,LR,1,1,False,No,0.5,0.5,0.4613555291319857,0.4858487997547993
6,LR,1,1,False,No,0.5,0.5,0.6682520808561236,0.7000892663733898
7,LR,1,1,False,No,0.5,0.5,0.4851367419738407,0.5092005606946753
8,LR,1,1,False,No,0.5,0.5,0.5517241379310345,0.5286584223975057
9,LR,1,1,False,No,0.5,0.5,0.5279429250891796,0.5613485605012173
0,GB,1,1,False,No,0.6271186440677966,0.6258620689655172,-1.0,-1.0
1,GB,1,1,False,No,0.576271186440678,0.5764367816091953,-1.0,-1.0
2,GB,1,1,False,No,0.5254237288135594,0.5241379310344827,-1.0,-1.0
3,GB,1,1,False,No,0.6271186440677966,0.6258620689655172,-1.0,-1.0
4,GB,1,1,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
5,GB,1,1,False,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
6,GB,1,1,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
7,GB,1,1,False,No,0.6896551724137931,0.6896551724137931,-1.0,-1.0
8,GB,1,1,False,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
9,GB,1,1,False,No,0.5689655172413793,0.5689655172413792,-1.0,-1.0
0,RFC,1,1,False,No,0.576271186440678,0.5758620689655172,-1.0,-1.0
1,RFC,1,1,False,No,0.6779661016949152,0.6781609195402298,-1.0,-1.0
2,RFC,1,1,False,No,0.6440677966101694,0.6442528735632184,-1.0,-1.0
3,RFC,1,1,False,No,0.5932203389830508,0.5902298850574713,-1.0,-1.0
4,RFC,1,1,False,No,0.7068965517241379,0.7068965517241379,-1.0,-1.0
5,RFC,1,1,False,No,0.7413793103448276,0.7413793103448276,-1.0,-1.0
6,RFC,1,1,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
7,RFC,1,1,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
8,RFC,1,1,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
9,RFC,1,1,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
0,SVC,1,2,True,No,0.6271186440677966,0.6270114942528735,-1.0,-1.0
1,SVC,1,2,True,No,0.6271186440677966,0.6252873563218391,-1.0,-1.0
2,SVC,1,2,True,No,0.576271186440678,0.575287356321839,-1.0,-1.0
3,SVC,1,2,True,No,0.7288135593220338,0.7275862068965517,-1.0,-1.0
4,SVC,1,2,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
5,SVC,1,2,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
6,SVC,1,2,True,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
7,SVC,1,2,True,No,0.5,0.5,-1.0,-1.0
8,SVC,1,2,True,No,0.5172413793103449,0.5172413793103448,-1.0,-1.0
9,SVC,1,2,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
0,RBF,1,2,True,No,0.6440677966101694,0.6425287356321838,-1.0,-1.0
1,RBF,1,2,True,No,0.6271186440677966,0.6241379310344828,-1.0,-1.0
2,RBF,1,2,True,No,0.5932203389830508,0.5908045977011493,-1.0,-1.0
3,RBF,1,2,True,No,0.6610169491525424,0.6603448275862069,-1.0,-1.0
4,RBF,1,2,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
5,RBF,1,2,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
6,RBF,1,2,True,No,0.7586206896551724,0.7586206896551724,-1.0,-1.0
7,RBF,1,2,True,No,0.5344827586206896,0.5344827586206896,-1.0,-1.0
8,RBF,1,2,True,No,0.5862068965517241,0.5862068965517241,-1.0,-1.0
9,RBF,1,2,True,No,0.5172413793103449,0.5172413793103448,-1.0,-1.0
0,LR,1,2,True,No,0.5084745762711864,0.5,0.725287356321839,0.7835918635699108
1,LR,1,2,True,No,0.5084745762711864,0.5,0.6459770114942529,0.6917210863217705
2,LR,1,2,True,No,0.5084745762711864,0.5,0.5781609195402299,0.508684012098128
3,LR,1,2,True,No,0.5084745762711864,0.5,0.657471264367816,0.7127904811270049
4,LR,1,2,True,No,0.5,0.5,0.45422116527942924,0.4457010571152928
5,LR,1,2,True,No,0.5,0.5,0.6313912009512485,0.6261922540996067
6,LR,1,2,True,No,0.5,0.5,0.5612366230677766,0.5324205386917791
7,LR,1,2,True,No,0.5,0.5,0.5921521997621879,0.5429980512197954
8,LR,1,2,True,No,0.5,0.5,0.6979785969084423,0.6994372293410477
9,LR,1,2,True,No,0.5,0.5,0.6230677764565993,0.6479214465000052
0,GB,1,2,True,No,0.576271186440678,0.575287356321839,-1.0,-1.0
1,GB,1,2,True,No,0.6101694915254238,0.610919540229885,-1.0,-1.0
2,GB,1,2,True,No,0.4745762711864407,0.4752873563218391,-1.0,-1.0
3,GB,1,2,True,No,0.6101694915254238,0.6086206896551725,-1.0,-1.0
4,GB,1,2,True,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
5,GB,1,2,True,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
6,GB,1,2,True,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
7,GB,1,2,True,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
8,GB,1,2,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
9,GB,1,2,True,No,0.5,0.5,-1.0,-1.0
0,RFC,1,2,True,No,0.6440677966101694,0.643103448275862,-1.0,-1.0
1,RFC,1,2,True,No,0.6271186440677966,0.628735632183908,-1.0,-1.0
2,RFC,1,2,True,No,0.6779661016949152,0.6764367816091954,-1.0,-1.0
3,RFC,1,2,True,No,0.5254237288135594,0.5258620689655172,-1.0,-1.0
4,RFC,1,2,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
5,RFC,1,2,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
