iter,model,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,acc,bal_acc,roc_auc,pr_auc
0,SVC,1,1,True,No,0.6666666666666666,0.55,-1.0,-1.0
1,SVC,1,1,True,No,0.6,0.5,-1.0,-1.0
2,SVC,1,1,True,No,0.42857142857142855,0.3333333333333333,-1.0,-1.0
3,SVC,1,1,True,No,0.7857142857142857,0.788888888888889,-1.0,-1.0
4,SVC,1,1,True,No,0.7857142857142857,0.7,-1.0,-1.0
5,SVC,1,1,True,No,0.5,0.3888888888888889,-1.0,-1.0
6,SVC,1,1,True,No,0.5714285714285714,0.48888888888888893,-1.0,-1.0
7,SVC,1,1,True,No,0.6428571428571429,0.5,-1.0,-1.0
8,SVC,1,1,True,No,0.5714285714285714,0.48888888888888893,-1.0,-1.0
9,SVC,1,1,True,No,0.6428571428571429,0.5444444444444444,-1.0,-1.0
0,RBF,1,1,True,No,0.6666666666666666,0.5,-1.0,-1.0
1,RBF,1,1,True,No,0.5333333333333333,0.44999999999999996,-1.0,-1.0
2,RBF,1,1,True,No,0.6428571428571429,0.5,-1.0,-1.0
3,RBF,1,1,True,No,0.6428571428571429,0.5,-1.0,-1.0
4,RBF,1,1,True,No,0.6428571428571429,0.5,-1.0,-1.0
5,RBF,1,1,True,No,0.6428571428571429,0.5,-1.0,-1.0
6,RBF,1,1,True,No,0.6428571428571429,0.5,-1.0,-1.0
7,RBF,1,1,True,No,0.6428571428571429,0.5,-1.0,-1.0
8,RBF,1,1,True,No,0.5714285714285714,0.4444444444444444,-1.0,-1.0
9,RBF,1,1,True,No,0.5714285714285714,0.48888888888888893,-1.0,-1.0
0,LR,1,1,True,No,0.6666666666666666,0.5,0.48,0.7379201354201353
1,LR,1,1,True,No,0.6666666666666666,0.5,0.5,0.752322261072261
2,LR,1,1,True,No,0.6428571428571429,0.5,0.4444444444444444,0.6747493247493248
3,LR,1,1,True,No,0.6428571428571429,0.5,0.35555555555555557,0.6347581430914764
4,LR,1,1,True,No,0.6428571428571429,0.5,0.7111111111111111,0.8113611696945031
5,LR,1,1,True,No,0.6428571428571429,0.5,0.8222222222222222,0.89153038319705
6,LR,1,1,True,No,0.6428571428571429,0.5,0.8,0.8454765913099247
7,LR,1,1,True,No,0.6428571428571429,0.5,0.5555555555555556,0.6023945190611858
8,LR,1,1,True,No,0.6428571428571429,0.5,0.6888888888888889,0.7678300094966761
9,LR,1,1,True,No,0.6428571428571429,0.5,0.8888888888888888,0.9335938752605422
0,GB,1,1,True,No,0.4666666666666667,0.4,-1.0,-1.0
1,GB,1,1,True,No,0.6666666666666666,0.6000000000000001,-1.0,-1.0
2,GB,1,1,True,No,0.7142857142857143,0.6,-1.0,-1.0
3,GB,1,1,True,No,0.5714285714285714,0.5333333333333333,-1.0,-1.0
4,GB,1,1,True,No,0.42857142857142855,0.4222222222222222,-1.0,-1.0
5,GB,1,1,True,No,0.6428571428571429,0.5888888888888889,-1.0,-1.0
6,GB,1,1,True,No,0.5,0.4777777777777778,-1.0,-1.0
7,GB,1,1,True,No,0.5,0.3888888888888889,-1.0,-1.0
8,GB,1,1,True,No,0.5714285714285714,0.5333333333333333,-1.0,-1.0
9,GB,1,1,True,No,0.5714285714285714,0.5333333333333333,-1.0,-1.0
0,RFC,1,1,True,No,0.7333333333333333,0.65,-1.0,-1.0
1,RFC,1,1,True,No,0.6,0.5,-1.0,-1.0
2,RFC,1,1,True,No,0.42857142857142855,0.4666666666666667,-1.0,-1.0
3,RFC,1,1,True,No,0.5,0.4777777777777778,-1.0,-1.0
4,RFC,1,1,True,No,0.6428571428571429,0.5444444444444444,-1.0,-1.0
5,RFC,1,1,True,No,0.7142857142857143,0.6444444444444444,-1.0,-1.0
6,RFC,1,1,True,No,0.5,0.3888888888888889,-1.0,-1.0
7,RFC,1,1,True,No,0.7142857142857143,0.6444444444444444,-1.0,-1.0
8,RFC,1,1,True,No,0.5714285714285714,0.48888888888888893,-1.0,-1.0
9,RFC,1,1,True,No,0.5714285714285714,0.5333333333333333,-1.0,-1.0
0,SVC,1,1,False,No,0.6666666666666666,0.5,-1.0,-1.0
1,SVC,1,1,False,No,0.6666666666666666,0.5,-1.0,-1.0
2,SVC,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
3,SVC,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
4,SVC,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
5,SVC,1,1,False,No,0.6428571428571429,0.5444444444444444,-1.0,-1.0
6,SVC,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
7,SVC,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
8,SVC,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
9,SVC,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
0,RBF,1,1,False,No,0.6666666666666666,0.5,-1.0,-1.0
1,RBF,1,1,False,No,0.6,0.45,-1.0,-1.0
2,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
3,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
4,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
5,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
6,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
7,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
8,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
9,RBF,1,1,False,No,0.6428571428571429,0.5,-1.0,-1.0
0,LR,1,1,False,No,0.6666666666666666,0.5,0.5999999999999999,0.7844524919524919
1,LR,1,1,False,No,0.6666666666666666,0.5,0.62,0.8350874125874125
2,LR,1,1,False,No,0.6428571428571429,0.5,0.26666666666666666,0.5708572291905625
3,LR,1,1,False,No,0.6428571428571429,0.5,0.3333333333333333,0.5882250465583798
4,LR,1,1,False,No,0.6428571428571429,0.5,0.5333333333333333,0.7389339056005724
5,LR,1,1,False,No,0.6428571428571429,0.5,0.5111111111111111,0.740098944265611
6,LR,1,1,False,No,0.6428571428571429,0.5,0.37777777777777777,0.5363545405212072
7,LR,1,1,False,No,0.6428571428571429,0.5,0.4888888888888889,0.6191156066156066
8,LR,1,1,False,No,0.6428571428571429,0.5,0.3111111111111111,0.6415041748375081
9,LR,1,1,False,No,0.6428571428571429,0.5,0.19999999999999998,0.5550182841849509
0,GB,1,1,False,No,0.8,0.75,-1.0,-1.0
1,GB,1,1,False,No,0.7333333333333333,0.65,-1.0,-1.0
2,GB,1,1,False,No,0.6428571428571429,0.5444444444444444,-1.0,-1.0
3,GB,1,1,False,No,0.6428571428571429,0.5444444444444444,-1.0,-1.0
4,GB,1,1,False,No,0.42857142857142855,0.3333333333333333,-1.0,-1.0
5,GB,1,1,False,No,0.5714285714285714,0.4444444444444444,-1.0,-1.0
6,GB,1,1,False,No,0.5714285714285714,0.6222222222222222,-1.0,-1.0
7,GB,1,1,False,No,0.7142857142857143,0.6,-1.0,-1.0
8,GB,1,1,False,No,0.5714285714285714,0.5333333333333333,-1.0,-1.0
9,GB,1,1,False,No,0.7142857142857143,0.6444444444444444,-1.0,-1.0
0,RFC,1,1,False,No,0.6666666666666666,0.6000000000000001,-1.0,-1.0
1,RFC,1,1,False,No,0.7333333333333333,0.7,-1.0,-1.0
2,RFC,1,1,False,No,0.7142857142857143,0.6444444444444444,-1.0,-1.0
3,RFC,1,1,False,No,0.5,0.43333333333333335,-1.0,-1.0
4,RFC,1,1,False,No,0.7142857142857143,0.6444444444444444,-1.0,-1.0
5,RFC,1,1,False,No,0.5714285714285714,0.48888888888888893,-1.0,-1.0
6,RFC,1,1,False,No,0.6428571428571429,0.5444444444444444,-1.0,-1.0
7,RFC,1,1,False,No,0.6428571428571429,0.5888888888888889,-1.0,-1.0
8,RFC,1,1,False,No,0.5714285714285714,0.48888888888888893,-1.0,-1.0
