iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,max_edge_scale,max_edge_moment,centered_edge_features,pca,MAE,MSE,RMSE
4,1,1,True,1,1,True,No,0.864345474930598,1.1717052698694335,1.0824533569024735
0,1,1,True,1,1,True,No,0.8976983570833296,1.2159609145453583,1.1027061777941385
1,1,1,True,1,1,True,No,0.87726279943947,1.1786775750838432,1.0856691830773513
2,1,1,True,1,1,True,No,0.8756161881190797,1.1713238544037452,1.0822771615458515
3,1,1,True,1,1,True,No,0.8613232876591976,1.163778758081158,1.0787857795137819
4,1,1,True,1,1,True,No,0.8816786548191964,1.3274300057528199,1.15214148686384
0,1,1,True,1,1,True,No,0.837704336301994,1.082007223614659,1.0401957621595366
1,1,1,True,1,1,True,No,0.8354182824701998,1.1361631177301479,1.0659095260528202
2,1,1,True,1,1,True,No,0.9102001679930295,1.3057120911224276,1.1426775971911007
3,1,1,True,1,1,True,No,0.8724552417980818,1.1752908231092674,1.084108307831495
4,1,1,True,1,1,True,No,0.8276053323881539,1.0467788041614348,1.023122086635527
0,1,1,True,1,1,True,No,0.9023282039779862,1.255216611544524,1.1203644994128135
1,1,1,True,1,1,True,No,0.9039638893216911,1.2756149572977635,1.1294312539051519
2,1,1,True,1,1,True,No,0.9590204840560181,1.3730662498194957,1.1717790959986851
3,1,1,True,1,1,True,No,0.8935553277842183,1.253077704832032,1.1194095340097976
4,1,1,True,1,1,True,No,0.8740117529609637,1.168085622789376,1.0807800991827043
0,1,1,True,1,1,True,No,0.9181575455478481,1.2778878102876792,1.1304369996986472
1,1,1,True,1,1,True,No,0.8747079696484512,1.1608461615995216,1.0774257104782314
2,1,1,True,1,1,True,No,0.9143447278134856,1.2696606203711405,1.126792181536214
3,1,1,True,1,1,True,No,0.8922781929483414,1.2727247340521999,1.1281510244875017
4,1,1,True,1,1,True,No,0.8478310809835619,1.1468475325775647,1.0709096752656428
0,1,1,True,1,1,True,No,0.8750776788891959,1.1913098000321443,1.0914713922188453
1,1,1,True,1,1,True,No,0.9136583983514739,1.2754835025716376,1.1293730573072998
2,1,1,True,1,1,True,No,0.8886285424047202,1.2199192863967816,1.1044995637829749
3,1,1,True,1,1,True,No,0.9072276664208844,1.2872907812828793,1.1345883752634165
4,1,1,True,1,1,True,No,0.892585039241497,1.2244405892723609,1.1065444361942094
0,1,1,True,1,1,True,No,0.8705288099916464,1.1781218885885627,1.0854132340212932
1,1,1,True,1,1,True,No,0.9158933027999709,1.307511948753591,1.1434648874161335
2,1,1,True,1,1,True,No,0.8873603502953917,1.2245603906800733,1.1065985679911543
3,1,1,True,1,1,True,No,0.9051325381645613,1.2462295267405892,1.116346508365834
4,1,1,True,1,1,True,No,0.8709128204583284,1.1815760965216984,1.087003264264509
0,1,1,True,1,1,True,No,0.8314353122843534,1.083001842767568,1.0406737446325665
1,1,1,True,1,1,True,No,0.8922848505059673,1.2412093765350343,1.1140957663212954
2,1,1,True,1,1,True,No,0.8864501766566583,1.1940866370432728,1.0927427131046323
3,1,1,True,1,1,True,No,0.886113526722669,1.2053273943988496,1.097874033939618
4,1,1,True,1,1,True,No,0.8918780874051608,1.2269696165619455,1.107686605751801
0,1,1,True,1,1,True,No,0.8604907556222615,1.1707942250306338,1.0820324510062689
1,1,1,True,1,1,True,No,0.8629050774658833,1.165976854956142,1.0798040817463797
2,1,1,True,1,1,True,No,0.8763086863119655,1.1755226327431414,1.0842152151409523
3,1,1,True,1,1,True,No,0.8649719640808282,1.148324800229516,1.0715991789048347
4,1,1,True,1,1,True,No,0.8826453161537302,1.2259745177469947,1.1072373357808138
0,1,1,True,1,1,True,No,0.8857461894560622,1.200790233041252,1.0958057460340551
1,1,1,True,1,1,True,No,0.8739281675922027,1.1577277162861124,1.075977563096049
2,1,1,True,1,1,True,No,0.8535028456814016,1.1512383390000485,1.0729577526631924
3,1,1,True,1,1,True,No,0.8903494156625388,1.233402954731504,1.1105867614605822
4,1,1,True,1,1,True,No,0.8751706777395322,1.1641296447502345,1.0789483976308758
0,1,1,True,1,1,True,No,0.8497734922089657,1.073486123422828,1.0360917543455443
1,1,1,True,1,1,True,No,0.8269466195121158,1.0578456718081393,1.0285162477122758
2,1,1,True,1,1,True,No,0.8716216692017126,1.2209010680348293,1.1049439207646827
3,1,1,True,1,1,True,No,0.8235064040292159,1.0491627098410772,1.0242864393523314
4,1,1,True,1,1,True,No,0.8917129321276642,1.2459131268590364,1.1162047871511018
0,1,1,True,1,1,True,No,0.8415499553719542,1.0653956702121157,1.0321800570695578
1,1,1,True,1,1,True,No,0.8968196588451576,1.2131357167499037,1.1014244035565508
2,1,1,True,1,1,True,No,0.8887105003781246,1.2241863564578805,1.1064295533190898
3,1,1,True,1,1,True,No,0.8657691342914261,1.1972483254026187,1.0941884323107327
4,1,1,True,1,1,True,No,0.8825232505229991,1.1977980085520206,1.0944395865245466
0,1,1,True,1,1,True,No,0.8328938424644905,1.0678223780881348,1.0333549139033185
1,1,1,True,1,1,True,No,0.8612952541821874,1.1638612540366302,1.0788240143955965
2,1,1,True,1,1,True,No,0.8662922553663935,1.290539860644992,1.1360193046973242
3,1,1,True,1,1,True,No,0.8326407982510315,1.0677510493807363,1.033320400157055
4,1,1,True,1,1,True,No,0.8555867423968221,1.113932245283133,1.055429886483765
0,1,1,True,1,1,True,No,0.9288131093211434,1.302529518689239,1.1412841533506188
1,1,1,True,1,1,True,No,0.8968717829650481,1.26174914109833,1.1232760751918158
2,1,1,True,1,1,True,No,0.9023578242081837,1.2708401020744429,1.1273154403601695
3,1,1,True,1,1,True,No,0.8827395446721339,1.2044939638261747,1.0974944026400202
4,1,1,True,1,1,True,No,0.897738550592747,1.227580195022916,1.1079621812241227
0,1,1,True,1,1,True,No,0.8622579887106304,1.171521330683506,1.0823683895437384
1,1,1,True,1,1,True,No,0.9082787627218116,1.3068335185438569,1.1431681934622993
2,1,1,True,1,1,True,No,0.8838762808307625,1.1874796161141856,1.0897153830767856
3,1,1,True,1,1,True,No,0.8719260124572329,1.1720152622139526,1.082596537133734
4,1,1,True,1,1,True,No,0.9118854311753873,1.2879382307348681,1.134873662895949
0,1,1,True,1,1,True,No,0.8895208921206075,1.2082477469127213,1.099203232761222
1,1,1,True,1,1,True,No,0.9033974093717291,1.289744980435554,1.1356693975077228
2,1,1,True,1,1,True,No,0.871946341000831,1.160697001138422,1.077356487490757
3,1,1,True,1,1,True,No,0.8719080648554268,1.1728114008587043,1.0829641733957334
4,1,1,True,1,1,True,No,0.9171016127536538,1.3123686259015126,1.1455865859469168
0,1,1,True,1,1,True,No,0.8624756469636934,1.1544092013111524,1.0744343634262414
1,1,1,True,1,1,True,No,0.8970807886179324,1.2454280229036065,1.1159874653882125
2,1,1,True,1,1,True,No,0.8870262272106134,1.2201807451414706,1.1046179181696585
3,1,1,True,1,1,True,No,0.8896183166915916,1.2154338034410161,1.1024671439281155
4,1,1,True,1,1,True,No,0.8851404963042723,1.2085372272677235,1.099334902233038
0,1,1,True,1,1,True,No,0.8333537326515799,1.0869673956973018,1.0425772852394692
1,1,1,True,1,1,True,No,0.8802935161084346,1.2457042736842838,1.1161112281866372
2,1,1,True,1,1,True,No,0.8598527883072307,1.1561011826179635,1.0752214574765346
3,1,1,True,1,1,True,No,0.8946413624229677,1.2208256168074614,1.1049097776775538
4,1,1,True,1,1,True,No,0.872431912472346,1.167191853202655,1.0803665365063169
0,1,1,True,1,1,True,No,0.8285700478293528,1.0837303861171808,1.0410237202471329
1,1,1,True,1,1,True,No,0.8968480105588225,1.236956088820072,1.1121852763007034
2,1,1,True,1,1,True,No,0.8753834147304966,1.1924951590053292,1.0920142668506347
3,1,1,True,1,1,True,No,0.8385710624291876,1.1110845821438116,1.0540799695202503
4,1,1,True,1,1,True,No,0.8933060107660781,1.2202842018636828,1.1046647463659203
0,1,1,True,1,1,True,No,0.8851619260655502,1.2085650976958469,1.0993475782007467
1,1,1,True,1,1,True,No,0.883015538309372,1.2062495510816669,1.0982939274536971
2,1,1,True,1,1,True,No,0.877178711630712,1.1711252834324963,1.0821854200794319
3,1,1,True,1,1,True,No,0.8485750920452568,1.1078268495977999,1.0525335384669696
4,1,1,True,1,1,True,No,0.8379262734444791,1.102970444372073,1.0502239972368146
0,1,1,True,1,1,True,No,0.8344648836148755,1.1001228427694272,1.0488674095277377
1,1,1,True,1,1,True,No,0.8579020698291705,1.1561442760560998,1.0752414966211543
2,1,1,True,1,1,True,No,0.858785231258162,1.138664640043117,1.0670823023755558
3,1,1,True,1,1,True,No,0.8245890932642601,1.3130927555439766,1.1459025942653138
4,1,1,True,1,1,True,No,0.8693424412867636,1.1588134104187486,1.076481960099076
0,1,1,True,1,1,True,No,0.8596387302515428,1.131746973423184,1.0638359711079448
1,1,1,True,1,1,True,No,0.8656678171033028,1.132121361465121,1.0640119179149832
2,1,1,True,1,1,True,No,0.902162179526013,1.2507130020117185,1.1183528074859554
3,1,1,True,1,1,True,No,0.8237718194063439,1.0666930637368721,1.0328083383362434
4,1,1,True,1,1,True,No,0.8856168164620719,1.219124487396887,1.104139704655569
0,1,1,True,1,1,True,No,0.86300330470075,1.1660711585111116,1.0798477478381439
1,1,1,True,1,1,True,No,0.8860185213684975,1.2317179541094103,1.1098278939139214
2,1,1,True,1,1,True,No,0.7972309050607421,0.9654311934292054,0.98256358238498
3,1,1,True,1,1,True,No,0.8400654825130945,1.1156482132393657,1.0562424973647697
4,1,1,True,1,1,True,No,0.8166582084775924,1.0462384496478156,1.0228579811722718
0,1,1,False,1,1,False,No,0.9745449670701708,1.4387143521524925,1.1994641937767432
1,1,1,False,1,1,False,No,0.8823517137279002,1.1684300445202283,1.0809394268506576
2,1,1,False,1,1,False,No,0.9058562091561634,1.2771945778782992,1.1301303366772786
3,1,1,False,1,1,False,No,0.8983829489418136,1.2965455663794647,1.1386595480561628
4,1,1,False,1,1,False,No,0.9354111570596021,1.3845037343122863,1.1766493676164902
0,1,1,False,1,1,False,No,0.9597246480377117,1.405263896360935,1.1854382718475622
1,1,1,False,1,1,False,No,0.9159786528135508,1.3257474302413146,1.1514110604998176
2,1,1,False,1,1,False,No,0.8879526820406836,1.2224475677513056,1.1056435084380976
3,1,1,False,1,1,False,No,0.9353783303958619,1.3464229702399078,1.1603546743301842
4,1,1,False,1,1,False,No,0.9288524289841308,1.3186959817816155,1.1483448879938534
0,1,1,False,1,1,False,No,0.8932838699283804,1.2778057646606542,1.1304007097753672
1,1,1,False,1,1,False,No,0.9126606083218205,1.2692336538933773,1.1266027045473384
2,1,1,False,1,1,False,No,0.9020693049270507,1.2463082401766141,1.116381762739169
3,1,1,False,1,1,False,No,0.890211383384195,1.2082754234678117,1.0992158220603503
4,1,1,False,1,1,False,No,0.918338194557294,1.3309217320520128,1.1536558117792381
0,1,1,False,1,1,False,No,0.9285115971013216,1.3853011889393505,1.1769881855564017
1,1,1,False,1,1,False,No,0.9840584913772517,1.4170439634125902,1.190396557207971
2,1,1,False,1,1,False,No,0.909336633907435,1.294792438648176,1.1378894667972703
3,1,1,False,1,1,False,No,0.8698286943212522,1.1831140281572674,1.087710452352678
4,1,1,False,1,1,False,No,0.9078230215400893,1.244825802284823,1.1157176176276966
0,1,1,False,1,1,False,No,0.8742068797246305,1.1906862311799085,1.0911856996771487
1,1,1,False,1,1,False,No,0.8869402193060016,1.1998640285180564,1.0953830510456406
2,1,1,False,1,1,False,No,0.9248709120280812,1.3428631663522854,1.1588197298770355
3,1,1,False,1,1,False,No,0.8932087429053187,1.2735398859772007,1.128512244495912
4,1,1,False,1,1,False,No,0.8909031755321154,1.171996174593759,1.0825877214312747
0,1,1,False,1,1,False,No,0.8794636151522202,1.1836762991835224,1.0879688870475674
1,1,1,False,1,1,False,No,0.8876827611839647,1.267119180635956,1.1256638843970947
2,1,1,False,1,1,False,No,0.9602338103186043,1.4171141756878654,1.190426047971005
3,1,1,False,1,1,False,No,0.919761563718151,1.2772338243398378,1.1301477002320706
4,1,1,False,1,1,False,No,0.905403329570325,1.2444272601827984,1.1155389998484133
0,1,1,False,1,1,False,No,0.9003569275521394,1.2717427164555146,1.127715707284205
1,1,1,False,1,1,False,No,0.8911433398459507,1.2017528535506936,1.096244887582466
2,1,1,False,1,1,False,No,0.8991969103701845,1.2409308500621559,1.1139707581719351
3,1,1,False,1,1,False,No,0.9035766482807024,1.2631828981958502,1.1239140973383377
4,1,1,False,1,1,False,No,0.8730711205602619,1.1836493811147242,1.0879565161874458
0,1,1,False,1,1,False,No,0.8569283544980857,1.1022835100128074,1.049896904468628
1,1,1,False,1,1,False,No,0.9230445437520952,1.3206235174195369,1.1491838483983043
2,1,1,False,1,1,False,No,0.8648510757830002,1.153574789889044,1.0740459905837572
3,1,1,False,1,1,False,No,0.9326299470779004,1.3378566401810796,1.1566575293409367
4,1,1,False,1,1,False,No,0.9310856327188253,1.3197950429086176,1.1488233297198562
