iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,MAE,MSE,RMSE
43,1,1,False,No,0.947404773506206,1.3859574240592631,1.1772669298248648
44,1,1,False,No,0.9182261787995687,1.3125388566723333,1.145660882055564
45,1,1,False,No,0.9233282144479643,1.3212328890534872,1.1494489501728589
46,1,1,False,No,0.9685633074873645,1.4301690440976451,1.1958967531094167
47,1,1,False,No,0.9369790737350294,1.3590466102924528,1.1657815448412505
48,1,1,False,No,0.9399012038208198,1.3296100028549245,1.1530871618637182
49,1,1,False,No,0.9467986586904954,1.3829803448789224,1.176001847311016
0,1,2,False,No,0.9498441110759414,1.3709322966860826,1.1708681807471253
1,1,2,False,No,0.9466806120943431,1.3727336423218857,1.1716371632557092
2,1,2,False,No,0.8966387510011937,1.2642448450927806,1.1243864305001108
3,1,2,False,No,0.9396450615364175,1.382287246118412,1.1757071259962713
4,1,2,False,No,0.8864797699665684,1.235538186129211,1.1115476535575122
5,1,2,False,No,0.8785984121642393,1.2124822279984224,1.1011277073974763
6,1,2,False,No,0.9312852221476656,1.3274752647488406,1.1521611279455841
7,1,2,False,No,0.8858889619533067,1.2090787767816982,1.0995811824425235
8,1,2,False,No,0.9177260751913833,1.2992074179862838,1.1398278019009205
9,1,2,False,No,0.8819178896165396,1.2009119572926494,1.0958612856071928
10,1,2,False,No,0.9118681520815951,1.2459991234860284,1.1162433083723406
11,1,2,False,No,0.9053631078640175,1.2657673058508585,1.1250632452670644
12,1,2,False,No,0.9277304885349048,1.3064338625314438,1.1429933781660522
13,1,2,False,No,0.9415255811504689,1.3325453944273995,1.1543593004032149
14,1,2,False,No,0.9273970912757159,1.3052291765873758,1.142466269343378
15,1,2,False,No,0.9371910843678508,1.3572040235537506,1.1649909971985837
16,1,2,False,No,0.9234115972569377,1.3120111129609844,1.145430536069728
17,1,2,False,No,0.9047878713125049,1.296742020089461,1.138745810130365
18,1,2,False,No,0.8812176710889159,1.214718991381369,1.1021429087833252
19,1,2,False,No,0.9207331047379342,1.2736737713442972,1.1285715623496355
20,1,2,False,No,0.9095236080602133,1.2908847383084319,1.1361710867243682
21,1,2,False,No,0.9159253626846031,1.2982249806953239,1.139396761753922
22,1,2,False,No,0.9165563856020906,1.3025187676940022,1.1412794432977413
23,1,2,False,No,0.914697785337789,1.2984269555991765,1.1394853906914193
24,1,2,False,No,0.9109448719096654,1.301427234386897,1.1408011370904645
25,1,2,False,No,0.8986794332424969,1.2409259791250875,1.1139685718749375
26,1,2,False,No,0.9070873882597993,1.2850949156678793,1.1336202696087783
27,1,2,False,No,0.9276080298362119,1.3179520029820826,1.148020907031785
28,1,2,False,No,0.9570470957217915,1.4221308709524796,1.192531287200667
29,1,2,False,No,0.9201974003778014,1.283339867041486,1.1328459149599674
30,1,2,False,No,0.9292627337653943,1.3280328254123541,1.1524030655167288
31,1,2,False,No,0.9388365943030814,1.358992592096615,1.165758376378491
32,1,2,False,No,0.8847941432962939,1.195559464160094,1.093416418461006
33,1,2,False,No,0.9253318658530006,1.3212081351879508,1.1494381824125866
34,1,2,False,No,0.9197886520380124,1.3072786682155113,1.1433628768748403
35,1,2,False,No,0.9201128033252285,1.3071260425398645,1.1432961307289833
36,1,2,False,No,0.9124058579306557,1.3129676651534266,1.145848011366877
37,1,2,False,No,0.9037211786909947,1.2635796539939959,1.1240905897631186
38,1,2,False,No,0.9213728877687724,1.3054489539444296,1.1425624507852643
39,1,2,False,No,0.9061911252907863,1.2752493732870183,1.1292693980122805
40,1,2,False,No,0.8988572958116499,1.2569891239975455,1.1211552631092383
41,1,2,False,No,0.9197298663943889,1.3211682206953466,1.149420819671954
42,1,2,False,No,0.9232838879516538,1.295232881118023,1.1380829851632186
